{'ulf': 44, 'urf': 145, 'umf': 100, 'ull': 214, 'urr': 35, 'ubb': 71, 'ul2': 369, 'ur2': 37, 'l1d': 1250, 'lld': 1250, 'rrd': 1250, 'r1d': 1250, 'imur': 360, 'pos': {'x': 3.36, 'y': 11.09, 'z': -0.57}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '1D33', '0D9D'], 'Ax': ['0.00', '6.50', '6.03', '0.60'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.00', '1.07'], 'ADist': ['3.99', '4.11', '6.90', '7.54']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.36, 'oldy': 11.09, 'imuc': 443.55839990066494, 'minimu': 220, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 44, 'urf': 145, 'umf': 100, 'ull': 214, 'urr': 35, 'ubb': 71, 'ul2': 369, 'ur2': 37, 'l1d': 1250, 'lld': 1250, 'rrd': 1250, 'r1d': 1250, 'imur': 360, 'pos': {'x': 3.36, 'y': 11.09, 'z': -0.57}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '1D33', '0D9D'], 'Ax': ['0.00', '6.50', '6.03', '0.60'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.00', '1.07'], 'ADist': ['3.99', '4.11', '6.90', '7.54']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.36, 'oldy': 11.09, 'imuc': 443.55839990066494, 'minimu': 220, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 44, 'urf': 145, 'umf': 100, 'ull': 214, 'urr': 35, 'ubb': 71, 'ul2': 369, 'ur2': 37, 'l1d': 1250, 'lld': 1250, 'rrd': 1250, 'r1d': 1250, 'imur': 360, 'pos': {'x': 3.36, 'y': 11.09, 'z': -0.57}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '1D33', '0D9D'], 'Ax': ['0.00', '6.50', '6.03', '0.60'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.00', '1.07'], 'ADist': ['3.99', '4.11', '6.90', '7.54']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.36, 'oldy': 11.09, 'imuc': 443.55839990066494, 'minimu': 220, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 44, 'urf': 145, 'umf': 100, 'ull': 214, 'urr': 35, 'ubb': 71, 'ul2': 369, 'ur2': 37, 'l1d': 1250, 'lld': 1250, 'rrd': 1250, 'r1d': 1250, 'imur': 360, 'pos': {'x': 3.36, 'y': 11.09, 'z': -0.57}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '1D33', '0D9D'], 'Ax': ['0.00', '6.50', '6.03', '0.60'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.00', '1.07'], 'ADist': ['3.99', '4.11', '6.90', '7.54']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.36, 'oldy': 11.09, 'imuc': 443.55839990066494, 'minimu': 220, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 44, 'urf': 145, 'umf': 100, 'ull': 214, 'urr': 35, 'ubb': 71, 'ul2': 369, 'ur2': 37, 'l1d': 1250, 'lld': 1250, 'rrd': 1250, 'r1d': 1250, 'imur': 360, 'pos': {'x': 3.36, 'y': 11.09, 'z': -0.57}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '1D33', '0D9D'], 'Ax': ['0.00', '6.50', '6.03', '0.60'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.00', '1.07'], 'ADist': ['3.99', '4.11', '6.90', '7.54']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.36, 'oldy': 11.09, 'imuc': 443.55839990066494, 'minimu': 220, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 44, 'urf': 145, 'umf': 100, 'ull': 214, 'urr': 35, 'ubb': 71, 'ul2': 369, 'ur2': 37, 'l1d': 1250, 'lld': 1250, 'rrd': 1250, 'r1d': 1250, 'imur': 360, 'pos': {'x': 3.36, 'y': 11.09, 'z': -0.57}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '1D33', '0D9D'], 'Ax': ['0.00', '6.50', '6.03', '0.60'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.00', '1.07'], 'ADist': ['3.99', '4.11', '6.90', '7.54']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.36, 'oldy': 11.09, 'imuc': 443.55839990066494, 'minimu': 220, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 44, 'urf': 145, 'umf': 100, 'ull': 214, 'urr': 35, 'ubb': 71, 'ul2': 369, 'ur2': 37, 'l1d': 1250, 'lld': 1250, 'rrd': 1250, 'r1d': 1250, 'imur': 360, 'pos': {'x': 3.36, 'y': 11.09, 'z': -0.57}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '1D33', '0D9D'], 'Ax': ['0.00', '6.50', '6.03', '0.60'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.00', '1.07'], 'ADist': ['3.99', '4.11', '6.90', '7.54']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.36, 'oldy': 11.09, 'imuc': 443.55839990066494, 'minimu': 220, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 44, 'urf': 145, 'umf': 100, 'ull': 214, 'urr': 35, 'ubb': 71, 'ul2': 369, 'ur2': 37, 'l1d': 1250, 'lld': 1250, 'rrd': 1250, 'r1d': 1250, 'imur': 360, 'pos': {'x': 3.36, 'y': 11.09, 'z': -0.57}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '1D33', '0D9D'], 'Ax': ['0.00', '6.50', '6.03', '0.60'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.00', '1.07'], 'ADist': ['3.99', '4.11', '6.90', '7.54']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.36, 'oldy': 11.09, 'imuc': 443.55839990066494, 'minimu': 220, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 44, 'urf': 145, 'umf': 100, 'ull': 214, 'urr': 35, 'ubb': 71, 'ul2': 369, 'ur2': 37, 'l1d': 1250, 'lld': 1250, 'rrd': 1250, 'r1d': 1250, 'imur': 360, 'pos': {'x': 3.36, 'y': 11.09, 'z': -0.57}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '1D33', '0D9D'], 'Ax': ['0.00', '6.50', '6.03', '0.60'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.00', '1.07'], 'ADist': ['3.99', '4.11', '6.90', '7.54']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.36, 'oldy': 11.09, 'imuc': 443.55839990066494, 'minimu': 220, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 44, 'urf': 145, 'umf': 100, 'ull': 214, 'urr': 35, 'ubb': 71, 'ul2': 369, 'ur2': 37, 'l1d': 1250, 'lld': 1250, 'rrd': 1250, 'r1d': 1250, 'imur': 360, 'pos': {'x': 3.36, 'y': 11.09, 'z': -0.57}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '1D33', '0D9D'], 'Ax': ['0.00', '6.50', '6.03', '0.60'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.00', '1.07'], 'ADist': ['3.99', '4.11', '6.90', '7.54']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.36, 'oldy': 11.09, 'imuc': 443.55839990066494, 'minimu': 220, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 44, 'urf': 145, 'umf': 100, 'ull': 214, 'urr': 35, 'ubb': 71, 'ul2': 369, 'ur2': 37, 'l1d': 1250, 'lld': 1250, 'rrd': 1250, 'r1d': 1250, 'imur': 360, 'pos': {'x': 3.36, 'y': 11.09, 'z': -0.57}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '1D33', '0D9D'], 'Ax': ['0.00', '6.50', '6.03', '0.60'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.00', '1.07'], 'ADist': ['3.99', '4.11', '6.90', '7.54']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.36, 'oldy': 11.09, 'imuc': 443.55839990066494, 'minimu': 220, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 44, 'urf': 145, 'umf': 100, 'ull': 214, 'urr': 35, 'ubb': 71, 'ul2': 369, 'ur2': 37, 'l1d': 1250, 'lld': 1250, 'rrd': 1250, 'r1d': 1250, 'imur': 360, 'pos': {'x': 3.36, 'y': 11.09, 'z': -0.57}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '1D33', '0D9D'], 'Ax': ['0.00', '6.50', '6.03', '0.60'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.00', '1.07'], 'ADist': ['3.99', '4.11', '6.90', '7.54']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.36, 'oldy': 11.09, 'imuc': 443.55839990066494, 'minimu': 220, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 44, 'urf': 145, 'umf': 100, 'ull': 214, 'urr': 35, 'ubb': 71, 'ul2': 369, 'ur2': 37, 'l1d': 1250, 'lld': 1250, 'rrd': 1250, 'r1d': 1250, 'imur': 360, 'pos': {'x': 3.36, 'y': 11.09, 'z': -0.57}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '1D33', '0D9D'], 'Ax': ['0.00', '6.50', '6.03', '0.60'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.00', '1.07'], 'ADist': ['3.99', '4.11', '6.90', '7.54']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.36, 'oldy': 11.09, 'imuc': 443.55839990066494, 'minimu': 220, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
