{'ulf': 22, 'urf': 100, 'umf': 100, 'ull': 100, 'urr': 47, 'ubb': 176, 'ul2': 338, 'ur2': 83, 'l1d': 1100, 'lld': 3079, 'rrd': 968, 'r1d': 901, 'imur': 360, 'pos': {'x': -0.9, 'y': 7.23, 'z': -0.13}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '0BAE', '4097', '86AE'], 'Ax': ['0.00', '-4.20', '1.60', '5.10'], 'Ay': ['7.20', '3.40', '3.10', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.52', '5.17', '5.02', '6.11']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.9, 'oldy': 7.23, 'imuc': 483.595520120853, 'minimu': 145, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 22, 'urf': 100, 'umf': 100, 'ull': 100, 'urr': 47, 'ubb': 176, 'ul2': 338, 'ur2': 83, 'l1d': 1100, 'lld': 3079, 'rrd': 968, 'r1d': 901, 'imur': 360, 'pos': {'x': -0.9, 'y': 7.23, 'z': -0.13}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '0BAE', '4097', '86AE'], 'Ax': ['0.00', '-4.20', '1.60', '5.10'], 'Ay': ['7.20', '3.40', '3.10', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.52', '5.17', '5.02', '6.11']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.9, 'oldy': 7.23, 'imuc': 483.595520120853, 'minimu': 145, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 22, 'urf': 100, 'umf': 100, 'ull': 100, 'urr': 47, 'ubb': 176, 'ul2': 338, 'ur2': 83, 'l1d': 1100, 'lld': 3079, 'rrd': 968, 'r1d': 901, 'imur': 360, 'pos': {'x': -0.9, 'y': 7.23, 'z': -0.13}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '0BAE', '4097', '86AE'], 'Ax': ['0.00', '-4.20', '1.60', '5.10'], 'Ay': ['7.20', '3.40', '3.10', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.52', '5.17', '5.02', '6.11']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.9, 'oldy': 7.23, 'imuc': 483.595520120853, 'minimu': 145, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 22, 'urf': 100, 'umf': 100, 'ull': 100, 'urr': 47, 'ubb': 176, 'ul2': 338, 'ur2': 83, 'l1d': 1100, 'lld': 3079, 'rrd': 968, 'r1d': 901, 'imur': 360, 'pos': {'x': -0.9, 'y': 7.23, 'z': -0.13}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '0BAE', '4097', '86AE'], 'Ax': ['0.00', '-4.20', '1.60', '5.10'], 'Ay': ['7.20', '3.40', '3.10', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.52', '5.17', '5.02', '6.11']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.9, 'oldy': 7.23, 'imuc': 483.595520120853, 'minimu': 145, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 22, 'urf': 100, 'umf': 100, 'ull': 100, 'urr': 47, 'ubb': 176, 'ul2': 338, 'ur2': 83, 'l1d': 1100, 'lld': 3079, 'rrd': 968, 'r1d': 901, 'imur': 360, 'pos': {'x': -0.9, 'y': 7.23, 'z': -0.13}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '0BAE', '4097', '86AE'], 'Ax': ['0.00', '-4.20', '1.60', '5.10'], 'Ay': ['7.20', '3.40', '3.10', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.52', '5.17', '5.02', '6.11']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.9, 'oldy': 7.23, 'imuc': 483.595520120853, 'minimu': 145, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 22, 'urf': 100, 'umf': 100, 'ull': 100, 'urr': 47, 'ubb': 176, 'ul2': 338, 'ur2': 83, 'l1d': 1100, 'lld': 3079, 'rrd': 968, 'r1d': 901, 'imur': 360, 'pos': {'x': -0.9, 'y': 7.23, 'z': -0.13}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '0BAE', '4097', '86AE'], 'Ax': ['0.00', '-4.20', '1.60', '5.10'], 'Ay': ['7.20', '3.40', '3.10', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.52', '5.17', '5.02', '6.11']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.9, 'oldy': 7.23, 'imuc': 483.595520120853, 'minimu': 145, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 22, 'urf': 100, 'umf': 100, 'ull': 100, 'urr': 47, 'ubb': 176, 'ul2': 338, 'ur2': 83, 'l1d': 1100, 'lld': 3079, 'rrd': 968, 'r1d': 901, 'imur': 360, 'pos': {'x': -0.9, 'y': 7.23, 'z': -0.13}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '0BAE', '4097', '86AE'], 'Ax': ['0.00', '-4.20', '1.60', '5.10'], 'Ay': ['7.20', '3.40', '3.10', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.52', '5.17', '5.02', '6.11']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.9, 'oldy': 7.23, 'imuc': 483.595520120853, 'minimu': 145, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 22, 'urf': 100, 'umf': 100, 'ull': 100, 'urr': 47, 'ubb': 176, 'ul2': 338, 'ur2': 83, 'l1d': 1100, 'lld': 3079, 'rrd': 968, 'r1d': 901, 'imur': 360, 'pos': {'x': -0.9, 'y': 7.23, 'z': -0.13}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '0BAE', '4097', '86AE'], 'Ax': ['0.00', '-4.20', '1.60', '5.10'], 'Ay': ['7.20', '3.40', '3.10', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.52', '5.17', '5.02', '6.11']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.9, 'oldy': 7.23, 'imuc': 483.595520120853, 'minimu': 145, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 22, 'urf': 100, 'umf': 100, 'ull': 100, 'urr': 47, 'ubb': 176, 'ul2': 338, 'ur2': 83, 'l1d': 1100, 'lld': 3079, 'rrd': 968, 'r1d': 901, 'imur': 360, 'pos': {'x': -0.9, 'y': 7.23, 'z': -0.13}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '0BAE', '4097', '86AE'], 'Ax': ['0.00', '-4.20', '1.60', '5.10'], 'Ay': ['7.20', '3.40', '3.10', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.52', '5.17', '5.02', '6.11']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.9, 'oldy': 7.23, 'imuc': 483.595520120853, 'minimu': 145, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 22, 'urf': 100, 'umf': 100, 'ull': 100, 'urr': 47, 'ubb': 176, 'ul2': 338, 'ur2': 83, 'l1d': 1100, 'lld': 3079, 'rrd': 968, 'r1d': 901, 'imur': 360, 'pos': {'x': -0.9, 'y': 7.23, 'z': -0.13}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '0BAE', '4097', '86AE'], 'Ax': ['0.00', '-4.20', '1.60', '5.10'], 'Ay': ['7.20', '3.40', '3.10', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.52', '5.17', '5.02', '6.11']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.9, 'oldy': 7.23, 'imuc': 483.595520120853, 'minimu': 145, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
{'ulf': 22, 'urf': 100, 'umf': 100, 'ull': 100, 'urr': 47, 'ubb': 176, 'ul2': 338, 'ur2': 83, 'l1d': 1100, 'lld': 3079, 'rrd': 968, 'r1d': 901, 'imur': 360, 'pos': {'x': -0.9, 'y': 7.23, 'z': -0.13}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['1D33', '0BAE', '4097', '86AE'], 'Ax': ['0.00', '-4.20', '1.60', '5.10'], 'Ay': ['7.20', '3.40', '3.10', '7.20'], 'Az': ['1.07', '1.07', '1.07', '1.07'], 'ADist': ['1.52', '5.17', '5.02', '6.11']}, 'a': -2.3, 'b': 6.3, 'oldx': -0.9, 'oldy': 7.23, 'imuc': 483.595520120853, 'minimu': 145, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [-2.3, -2.42, 2.97, 2.97, 7.7, 7.4, -2.42], 'sety': [6.3, 0.75, 0.92, 6.4, 6.4, 0.8, 0.75]}
